"Title","Description","BiocVersion","Genome","SourceType","SourceUrl","SourceVersion","Species","TaxonomyId","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass","RDataPath","Tags"
"pathbank_Homo_sapiens_metabolites.rda","Metabolite names linked to PathBank Homo sapiens pathways (includes KEGG and ChEBI IDs)","3.13",NA,"CSV","https://pathbank.org/downloads","Dec 13 2020","Homo sapiens","9606",NA,"PathBank","Kozo Nishida <kozo.nishida@gmail.com>","Tibble","Rda","AHPathbankDbs/pathbank_Homo_sapiens_metabolites.rda","Pathways:metabolites:proteins:HMDB:KEGG:ChEBI:Drugbank:CAS:Uniprot"
"pathbank_Escherichia_coli_metabolites.rda","Metabolite names linked to PathBank Escherichia coli pathways (includes KEGG and ChEBI IDs)","3.13",NA,"CSV","https://pathbank.org/downloads","Dec 13 2020","Escherichia coli","562",NA,"PathBank","Kozo Nishida <kozo.nishida@gmail.com>","Tibble","Rda","AHPathbankDbs/pathbank_Escherichia_coli_metabolites.rda","Pathways:metabolites:proteins:HMDB:KEGG:ChEBI:Drugbank:CAS:Uniprot"
"pathbank_Mus_musculus_metabolites.rda","Metabolite names linked to PathBank Mus musculus pathways (includes KEGG and ChEBI IDs)","3.13",NA,"CSV","https://pathbank.org/downloads","Dec 13 2020","Mus musculus","10090",NA,"PathBank","Kozo Nishida <kozo.nishida@gmail.com>","Tibble","Rda","AHPathbankDbs/pathbank_Mus_musculus_metabolites.rda","Pathways:metabolites:proteins:HMDB:KEGG:ChEBI:Drugbank:CAS:Uniprot"
"pathbank_Arabidopsis_thaliana_metabolites.rda","Metabolite names linked to PathBank Arabidopsis thaliana pathways (includes KEGG and ChEBI IDs)","3.13",NA,"CSV","https://pathbank.org/downloads","Dec 13 2020","Arabidopsis thaliana","3702",NA,"PathBank","Kozo Nishida <kozo.nishida@gmail.com>","Tibble","Rda","AHPathbankDbs/pathbank_Arabidopsis_thaliana_metabolites.rda","Pathways:metabolites:proteins:HMDB:KEGG:ChEBI:Drugbank:CAS:Uniprot"
"pathbank_Saccharomyces_cerevisiae_metabolites.rda","Metabolite names linked to PathBank Saccharomyces cerevisiae pathways (includes KEGG and ChEBI IDs)","3.13",NA,"CSV","https://pathbank.org/downloads","Dec 13 2020","Saccharomyces cerevisiae","4932",NA,"PathBank","Kozo Nishida <kozo.nishida@gmail.com>","Tibble","Rda","AHPathbankDbs/pathbank_Saccharomyces_cerevisiae_metabolites.rda","Pathways:metabolites:proteins:HMDB:KEGG:ChEBI:Drugbank:CAS:Uniprot"
"pathbank_Bos_taurus_metabolites.rda","Metabolite names linked to PathBank Bos taurus pathways (includes KEGG and ChEBI IDs)","3.13",NA,"CSV","https://pathbank.org/downloads","Dec 13 2020","Bos taurus","9913",NA,"PathBank","Kozo Nishida <kozo.nishida@gmail.com>","Tibble","Rda","AHPathbankDbs/pathbank_Bos_taurus_metabolites.rda","Pathways:metabolites:proteins:HMDB:KEGG:ChEBI:Drugbank:CAS:Uniprot"
"pathbank_Caenorhabditis_elegans_metabolites.rda","Metabolite names linked to PathBank Caenorhabditis elegans pathways (includes KEGG and ChEBI IDs)","3.13",NA,"CSV","https://pathbank.org/downloads","Dec 13 2020","Caenorhabditis elegans","6239",NA,"PathBank","Kozo Nishida <kozo.nishida@gmail.com>","Tibble","Rda","AHPathbankDbs/pathbank_Caenorhabditis_elegans_metabolites.rda","Pathways:metabolites:proteins:HMDB:KEGG:ChEBI:Drugbank:CAS:Uniprot"
"pathbank_Rattus_norvegicus_metabolites.rda","Metabolite names linked to PathBank Rattus norvegicus pathways (includes KEGG and ChEBI IDs)","3.13",NA,"CSV","https://pathbank.org/downloads","Dec 13 2020","Rattus norvegicus","10116",NA,"PathBank","Kozo Nishida <kozo.nishida@gmail.com>","Tibble","Rda","AHPathbankDbs/pathbank_Rattus_norvegicus_metabolites.rda","Pathways:metabolites:proteins:HMDB:KEGG:ChEBI:Drugbank:CAS:Uniprot"
"pathbank_Drosophila_melanogaster_metabolites.rda","Metabolite names linked to PathBank Drosophila melanogaster pathways (includes KEGG and ChEBI IDs)","3.13",NA,"CSV","https://pathbank.org/downloads","Dec 13 2020","Drosophila melanogaster","7227",NA,"PathBank","Kozo Nishida <kozo.nishida@gmail.com>","Tibble","Rda","AHPathbankDbs/pathbank_Drosophila_melanogaster_metabolites.rda","Pathways:metabolites:proteins:HMDB:KEGG:ChEBI:Drugbank:CAS:Uniprot"
"pathbank_Pseudomonas_aeruginosa_metabolites.rda","Metabolite names linked to PathBank Pseudomonas aeruginosa pathways (includes KEGG and ChEBI IDs)","3.13",NA,"CSV","https://pathbank.org/downloads","Dec 13 2020","Pseudomonas aeruginosa","287",NA,"PathBank","Kozo Nishida <kozo.nishida@gmail.com>","Tibble","Rda","AHPathbankDbs/pathbank_Pseudomonas_aeruginosa_metabolites.rda","Pathways:metabolites:proteins:HMDB:KEGG:ChEBI:Drugbank:CAS:Uniprot"
"pathbank_Homo_sapiens_proteins.rda","Protein names linked to PathBank Homo sapiens pathways (includes UniProt IDs)","3.13",NA,"CSV","https://pathbank.org/downloads","Dec 13 2020","Homo sapiens","9606",NA,"PathBank","Kozo Nishida <kozo.nishida@gmail.com>","Tibble","Rda","AHPathbankDbs/pathbank_Homo_sapiens_proteins.rda","Pathways:metabolites:proteins:HMDB:KEGG:ChEBI:Drugbank:CAS:Uniprot"
"pathbank_Escherichia_coli_proteins.rda","Protein names linked to PathBank Escherichia coli pathways (includes UniProt IDs)","3.13",NA,"CSV","https://pathbank.org/downloads","Dec 13 2020","Escherichia coli","562",NA,"PathBank","Kozo Nishida <kozo.nishida@gmail.com>","Tibble","Rda","AHPathbankDbs/pathbank_Escherichia_coli_proteins.rda","Pathways:metabolites:proteins:HMDB:KEGG:ChEBI:Drugbank:CAS:Uniprot"
"pathbank_Mus_musculus_proteins.rda","Protein names linked to PathBank Mus musculus pathways (includes UniProt IDs)","3.13",NA,"CSV","https://pathbank.org/downloads","Dec 13 2020","Mus musculus","10090",NA,"PathBank","Kozo Nishida <kozo.nishida@gmail.com>","Tibble","Rda","AHPathbankDbs/pathbank_Mus_musculus_proteins.rda","Pathways:metabolites:proteins:HMDB:KEGG:ChEBI:Drugbank:CAS:Uniprot"
"pathbank_Arabidopsis_thaliana_proteins.rda","Protein names linked to PathBank Arabidopsis thaliana pathways (includes UniProt IDs)","3.13",NA,"CSV","https://pathbank.org/downloads","Dec 13 2020","Arabidopsis thaliana","3702",NA,"PathBank","Kozo Nishida <kozo.nishida@gmail.com>","Tibble","Rda","AHPathbankDbs/pathbank_Arabidopsis_thaliana_proteins.rda","Pathways:metabolites:proteins:HMDB:KEGG:ChEBI:Drugbank:CAS:Uniprot"
"pathbank_Saccharomyces_cerevisiae_proteins.rda","Protein names linked to PathBank Saccharomyces cerevisiae pathways (includes UniProt IDs)","3.13",NA,"CSV","https://pathbank.org/downloads","Dec 13 2020","Saccharomyces cerevisiae","4932",NA,"PathBank","Kozo Nishida <kozo.nishida@gmail.com>","Tibble","Rda","AHPathbankDbs/pathbank_Saccharomyces_cerevisiae_proteins.rda","Pathways:metabolites:proteins:HMDB:KEGG:ChEBI:Drugbank:CAS:Uniprot"
"pathbank_Bos_taurus_proteins.rda","Protein names linked to PathBank Bos taurus pathways (includes UniProt IDs)","3.13",NA,"CSV","https://pathbank.org/downloads","Dec 13 2020","Bos taurus","9913",NA,"PathBank","Kozo Nishida <kozo.nishida@gmail.com>","Tibble","Rda","AHPathbankDbs/pathbank_Bos_taurus_proteins.rda","Pathways:metabolites:proteins:HMDB:KEGG:ChEBI:Drugbank:CAS:Uniprot"
"pathbank_Caenorhabditis_elegans_proteins.rda","Protein names linked to PathBank Caenorhabditis elegans pathways (includes UniProt IDs)","3.13",NA,"CSV","https://pathbank.org/downloads","Dec 13 2020","Caenorhabditis elegans","6239",NA,"PathBank","Kozo Nishida <kozo.nishida@gmail.com>","Tibble","Rda","AHPathbankDbs/pathbank_Caenorhabditis_elegans_proteins.rda","Pathways:metabolites:proteins:HMDB:KEGG:ChEBI:Drugbank:CAS:Uniprot"
"pathbank_Rattus_norvegicus_proteins.rda","Protein names linked to PathBank Rattus norvegicus pathways (includes UniProt IDs)","3.13",NA,"CSV","https://pathbank.org/downloads","Dec 13 2020","Rattus norvegicus","10116",NA,"PathBank","Kozo Nishida <kozo.nishida@gmail.com>","Tibble","Rda","AHPathbankDbs/pathbank_Rattus_norvegicus_proteins.rda","Pathways:metabolites:proteins:HMDB:KEGG:ChEBI:Drugbank:CAS:Uniprot"
"pathbank_Drosophila_melanogaster_proteins.rda","Protein names linked to PathBank Drosophila melanogaster pathways (includes UniProt IDs)","3.13",NA,"CSV","https://pathbank.org/downloads","Dec 13 2020","Drosophila melanogaster","7227",NA,"PathBank","Kozo Nishida <kozo.nishida@gmail.com>","Tibble","Rda","AHPathbankDbs/pathbank_Drosophila_melanogaster_proteins.rda","Pathways:metabolites:proteins:HMDB:KEGG:ChEBI:Drugbank:CAS:Uniprot"
